artistName,albumName,trackName,uri
Daxten,Rumors,Rumors,spotify:track:4KgCNxsaTLwPs82TEUcRDd
Unknown Brain,Inspiration,Inspiration,spotify:track:7fAoPMnIEg7IcRVQasrj6V
Aya Nakamura,Hypé (feat. Ayra Starr),Hypé (feat. Ayra Starr),spotify:track:6oi6AAmRd2IbanRMQZC39J
Lvly,Things I Love,Worst Behavior,spotify:track:33yoGkJ4RbJAUbp0IaO5sZ
Yesable,Love Cheque,You're Feelin' Me,spotify:track:5Vy76K3pR0ZGyIs7X1vdXy
smle,Weightless,Weightless,spotify:track:3Bi5Rw7VoxyfXPBDGQKObV
Cartoon,Don't Be A Stranger,Don't Be A Stranger,spotify:track:0U8qQnPxuDZnQMCgw27isl
Tyla,Water,Water,spotify:track:5aIVCx5tnk0ntmdiinnYvw
Asketa & Natan Chaim,More,More,spotify:track:01eUcUUfmt69IpEGGVZCAH
Vicetone,Legacy,Elevate,spotify:track:6HSENRdnjVJ6GqymOdDWsx
Over Easy,Trying Too Hard,Trying Too Hard,spotify:track:6TxjgWYwIhSMaTQiwBbjE0
CLNGR,Too Dark,Shut My Eyes,spotify:track:54w1vzVV3E3rxHQFsrO3QJ
Alok,Deep Down (feat. Never Dull),Deep Down (feat. Never Dull),spotify:track:7MIhUdNJtaOnDmC5nBC1fb
Yesable,Fireflies,Time for a New Day,spotify:track:7ENSrQhKpUvrdS2j7Ujrqa
Yesable,KEEN: Workout Vol. 1,The Sooner The Better,spotify:track:64cQ8n9LqlCkaZXxvRx6zn
KeBlack,Aucune attache,Aucune attache,spotify:track:3KZN01EuBoqh04jyGXpnxr
STIM,martyr,martyr,spotify:track:19CRJvSNIkFiF7zZeYPCum
Conro,Level Days,Fighters,spotify:track:1eYxa4UQo3ElMrX5n5J3CF
Pháo,2 Phút Hơn,2 Phút Hơn - KAIZ Remix,spotify:track:4SUk1ZTtA6OC120afxrpRZ
Mindme,Let's Talk About Your Ex,Happier,spotify:track:1lL3kPJfC7RXu0L6pwkFvo
Stonebank,Strength Unknown,Strength Unknown,spotify:track:7Fn4aemJqeG8KwpklgfFu3
Cinema Kid,Everything Is Alright,Lost Time,spotify:track:5Z2AVQUoVPvnYVRAyEwsNc
Squeezie,Bye Bye,Bye Bye,spotify:track:43Ca15rXse9SfsEvcJ27js
STIM,ghost,ghost,spotify:track:2hqksrQuKeya9oSoAfc9sf
FAVE,Beautifully,Beautifully,spotify:track:7mFrwc86C3vZKobwpK0jdH
Aiyo,Runaways,Escapades,spotify:track:6Awih06qBWDAlaIdRbsBCy
Syn Cole,Time,Time,spotify:track:3kKma7s3lt05qH4rBYdUMp
Rednex,Sex & Violins,Cotton Eye Joe,spotify:track:0Jg602cHeMCnPez9baacIe
Rich Edwards,Where I'll Be Waiting,Where I'll Be Waiting,spotify:track:3bEpiGFnLy4ufim9JZtJYg
Lvly,Mad Woman,Wild,spotify:track:1pKl9YL5FhJSsD0fAJozvQ
OVSKY,Warmer,Warmer,spotify:track:3J2KzuvIYC9Ao489gZSsIM
Conro,Thrill of It,Heartbeat,spotify:track:07bHhnegjmEPtqpDKhShO0
Soprano,Freedom - Pt. I,Facile à danser,spotify:track:1BAhaepGunYohbQh6DpHXS
Olamide,Unruly,New Religion,spotify:track:0U6EtYtNKv8t3o9cjniLn2
Marino,The Good Times,The Good Times,spotify:track:0mHFWWwvg8g4mPtNGy8WYE
Bad Computer,Voyage,Voyage,spotify:track:1sJNxQ0Ih4CXCGhHsBRNZH
Neon Tide,Let Go,Let Go,spotify:track:7bL9uGTNLE1SAHQUAjHne5
Seven Lions,Not Even Love,Not Even Love,spotify:track:65s9dLrylbHp60IYIcUZEz
Bruno Mars,Doo-Wops & Hooligans,Marry You,spotify:track:6SKwQghsR8AISlxhcwyA9R
Sayfalse,LOS VOLTAJE,LOS VOLTAJE,spotify:track:4LkkRLP8pldQer1YRrHwkx
Sabrina Carpenter,Espresso,Espresso,spotify:track:2qSkIjg1o9h3YT9RAgYN75
Midas the Jagaban,Party With A Jagaban,Party With A Jagaban,spotify:track:5BkBcXJ0rDRlnzh3tmknxI
Ameryh,Like in the Movies,Like in the Movies,spotify:track:5vCc4n57dhL4idaluGS2Ua
Vicki Vox,Feel The Love,Feel the Love,spotify:track:5OWQBIRQYQn77BsFvfJoHZ
Basixx,Let's Get Out,Need Your Touch,spotify:track:5XS37Do0DUe9KSTqzMUFgG
Sara Skinner,Keep You,Keep You,spotify:track:4OHrFhX1aDSIQSxxcIyRTL
Burna Boy,African Giant,Collateral Damage,spotify:track:3A1zdPgQNDW4moavGCxSxz
3LAU,Worst Case,Worst Case,spotify:track:3zbbRebB1rzlXJgq7Ufn8V
Syn Cole,Gizmo,Gizmo,spotify:track:1cOnkjatYqopUe2Ka9fjOo
Love Beans,Can You Feel Me,Can You Feel Me,spotify:track:3Sxc7CtGBiy7xZzUTrocjt
HUNTR/X,KPop Demon Hunters,Golden,spotify:track:1CPZ5BxNNd0n0nF4Orb9JS
Bad Computer,Silhouette,Silhouette,spotify:track:3LtneQPDsVu9sPOrrytH1a
Sayfalse,MONTAGEM NOPASA,MONTAGEM NOPASA,spotify:track:7F7iJN19fXlr1Co6dA6TYv
Lupus Nocte,Someone New,Someone New,spotify:track:27abYANhWLmUX3IkzcA4om
Steve Lacy,Gemini Rights,Static,spotify:track:4OmfWzukSVD140NiAIEjem
3rd Prototype,Feel So Good,Feel So Good,spotify:track:4Gao22JfFCy34ya6MPlDrJ
PNL,Deux frères,Deux frères,spotify:track:6hzi3AGB39FjxFqcjgbWs7
CG5,Locked Away,Locked Away,spotify:track:0IXcggiix3nrgpCNzI8l9f
Lil Nas X,MONTERO,THATS WHAT I WANT,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO
Lupus Nocte,Cry When It's Over,Cry When It's Over,spotify:track:6FrWzQ8CBO47Jw5YhwcFQ6
Squiid,Under The Stars,Atmospherica,spotify:track:14ZKO2W1xn7o7WH2RnNiNr
Ayra Starr,Rush,Rush,spotify:track:1rrqJ9QkOBYJlsZgqqwxgB
Time To Talk,Say The Words,Say The Words,spotify:track:3HpoVZ0eUeslAIe3C2fKCL
Zerb,Addicted,Addicted,spotify:track:5ZUIPLoTLJZrPQh2kFZEUM
Dntless,YOU,YOU,spotify:track:57UJ5NLxKrc1JirOPDA1t2
JJD,Somebody Like Me,Somebody Like Me,spotify:track:7tXOUsVnja9CM4ZqpsIRyL
Conro,Every Little Thing,Every Little Thing,spotify:track:6CShhNa33zOmCqJ0SkjsWc
Syn Cole,Drive,Drive,spotify:track:08okcOoLDbT0Q0MucvPF5x
sammy rash,smile more,smile more,spotify:track:1NNUcz8YMp6OKElVufO1Sj
Daddy Yankee,Barrio Fino (Bonus Track Version),Gasolina,spotify:track:228BxWXUYQPJrJYHDLOHkj
Aeden,I Feel Crazy,I Feel Crazy,spotify:track:0zVch76E7sQGCYuxA61KUd
Rema,Rema,Dumebi,spotify:track:0SjQBdIddPvKSWxr8vk6QX
Madeon,Good Faith,Be Fine,spotify:track:7vm3Z78elWY11Xl6MNuXng
ELFL,Epidemic Remixed Vol.1,Never or Right Now (Suedo Remix),spotify:track:4y82qw5teXhfOlK4oohlmg
Orelsan,La fête est finie,La pluie (feat. Stromae),spotify:track:4cYFep5SECqb4EsSkF82e0
Katnip,Silverware,Don't You Worry 'Bout Me,spotify:track:4VKd2aafPaUszcA9Rz4Eua
Duumu,Close to You,Close to You,spotify:track:1be1yLsa5pDBemV5sQMp1e
Florrie,Personal,Street Lights,spotify:track:2aqjwMntCOaGuRYgLBGjl8
Rob Gasser,Vertigo,Vertigo,spotify:track:5f1qCD8JhSU1frlTwk6hHW
Maazel,Mirrors,Mirrors,spotify:track:59j1aFqihFjuwZzii7lIYP
ZEG P,FADE UP,FADE UP,spotify:track:4ZpIuzx91EAPK3VimONbfB
Dntless,For You,For You,spotify:track:1GeZkvFy3xYQmmnJ0hKpLq
Ayra Starr,Sability,Sability,spotify:track:5V9XFfvCG4WP5ZdISOLvaF
Mindme,Like A Rollercoaster,Like a Rollercoaster,spotify:track:4t4xs0vgs6rTVX7kBF6heD
Steve Hartz,Never Give Up,Never Give Up,spotify:track:3dRWvjFgKT5kSQrpOLR1QX
Trivecta,Leave It All Behind (feat. Fagin),Leave It All Behind (feat. Fagin),spotify:track:0UZbbFkDzcwLMOo8QZn6xD
John Michael Howell,Mr. Feel,Mr. Feel,spotify:track:4ObXcSveTWV1JHllxRy0Iu
Rob Gasser,Whole (Rob Gasser Remix),Whole - Rob Gasser Remix,spotify:track:2G7zuAZ2acarhEapvtCaPq
NIGHTCAP,Soul on Fire,Soul on Fire,spotify:track:4XzTxfQBXBXzzE0DwybPsy
ellis,The Taste/Orbit,The Taste,spotify:track:5GgiDYTRlUqnl0v0kCSgeH
Dadju,HÉRITAGE,I love you,spotify:track:6jDe94y1dbLDU53Q1NPxLH
Vicetone,Elements,Feels Like,spotify:track:3Kmcm8m9i6Be5LuWYgt47G
OVSKY,Time EP,Way To You,spotify:track:6yji8gchFtQiB5OA9lQvDe
Cheque,Bravo,Body,spotify:track:2ZzdMe0ExxdkgMZ8vzPB30
SABAI,Scared,Scared,spotify:track:2ktaGvlb0uE3tUQXy2oXoo
Jay Cosmic,Ocean Eyes,Ocean Eyes,spotify:track:1REdX9F6uFLWyjigcqxA6v
Feenixpawl,Let Me Out,Let Me Out,spotify:track:51htAVReG5o3ZTWowdRKPi
Koven,Never Have I Felt This,Never Have I Felt This,spotify:track:0H7JHndcZJ2SFGx03pUnwp
Victony,Stubborn,Risk,spotify:track:6qS9yoAUIXNfno5t4YLQdn
Cartoon,Howling,Howling - Andromedik Remix,spotify:track:3cvr7I6DJxIq3GL4UAU8p4
Trivecta,Rocket League x Monstercat Vol. 1,Break Me,spotify:track:61wWlx9A7791rnvfzBkK18
CKay,Sad Romance,emiliana,spotify:track:6bW7YnPQQffit1iwule5Vv
Bruno Mars,24K Magic,That's What I Like,spotify:track:0KKkJNfGyhkQ5aFogxQAPU
Facading,Don't Need You,Don't Need You,spotify:track:1uI1ZFdWSZOBRAkfCnJGV6
Rogue,Monstercat - 10 Year Anniversary,Motion - 2014,spotify:track:6dueHEeoj9L8Nb8aJ918Sa
Rich Edwards,Turn Back Time,Turn Back Time,spotify:track:3oj5xWQasKxqCbcQk4dgY9
Ayo Maff,Dealer,Dealer,spotify:track:5Wxkvvb6pLky16pwq4gBI3
Zack Merci,BOUNCE!,BOUNCE!,spotify:track:0tDQdGzAuoz7H21SYlAyCj
Victony,My Darling + Angelus,My Darling,spotify:track:1Lyo0G6hpTjWfWi8zjd9Wz
Wildcrow,Like A Melody (The Remixes),Like A Melody - Karl Roque Remix,spotify:track:2H9la6Kv02ZilCBQpAQzeL
Grant,Without You,Without You,spotify:track:0gXEJXyG1D31WcezYQguyX
RandJess,Rester des mômes,Rester des mômes,spotify:track:5zI570PCt684fFG7KHPwtF
Fireboy DML,everyday,everyday,spotify:track:2yskKhqtDAHJ73obmJh8tf
LOWBORN,Hurt,Hurt,spotify:track:36tWhz93NlX0Vg58avs6mG
Axollo,Searching,Searching,spotify:track:6mASEEU3XhSoEegIkkm0My
KATSEYE,Touch,Touch,spotify:track:6aJn7Cst74cj4lNIiPRgav
MYTCH,Re-Attach,Re-Attach,spotify:track:6fpFMlBYeZDlREzcqW3APj
Eternxlkz,SLAY!,SLAY!,spotify:track:67smGwuPEtA6GAfeweAVNO
Grant,Distraction,Distraction,spotify:track:67GjRwSggoe8DItuIh82kC
Diviners,This Time,This Time,spotify:track:31vRvfoWKXpEL7KAesLGnp
32Stitches,Rest in Paradise,Rest in Paradise,spotify:track:6i5n0mpcmj9UniSS1ddP44
Ogryzek,GLORY,GLORY,spotify:track:2YZ7CJV3Q1OGh7ZL9PYWcP
STIM,appetite,appetite,spotify:track:24sBckL7mZfqD2g5e2Nc9Q
Diamond Eyes,Flutter,Flutter,spotify:track:7cVEshyrawmEYmtqYtwoPy
NIGHTCAP,Who Will Save Me,Who Will Save Me,spotify:track:5InZl8GdcChZN3gwEvqNXY
Olivia Rodrigo,SOUR,good 4 u,spotify:track:4ZtFanR9U6ndgddUvNcjcG
Lost Sky,Vision pt. II,Vision pt. II,spotify:track:5f9W174NPbE0OiQeo0D5Wx
Benson Boone,Fireworks & Rollerblades,Slow It Down,spotify:track:51eSHglvG1RJXtL3qI5trr
QMIIR,SEMPERO,SEMPERO - Slowed,spotify:track:54veCY5M8Y9k92idKlJZ44
Fordo,2001,JADED,spotify:track:0huGI0LnWqnVC6po8Cfd7N
Abandoned,Salvage,Salvage,spotify:track:6Oe2fIOBBnGqZSZbbw7Xb9
Deanz,Recoup,Close to My Body,spotify:track:1lSOldfu8oEBeZBtPCPM1Y
Aeden,Take It or Leave It,Take It or Leave It,spotify:track:02Jm97ALc0atbXRpiwCLba
Rootkit,Recursion,Promise Me - Melano Remix,spotify:track:5GYXQS1Sg3cIANSP9ATIYC
Vampyx,Kiss me <3,Kiss me <3,spotify:track:0n6HinEyWTVVXlHMwrKE1M
Half an Orange,Mark Twain,Mark Twain - Glacier Remix,spotify:track:1yZMDvuoZ5jtizN732kHzs
Dmitri Shostakovich,"Shostakovich: 24 Preludes, Op. 34; Piano Sonatas Nos. 1 & 2","24 Preludes, Op. 34: No. 10 in C-Sharp Minor. Moderato non troppo",spotify:track:26Ii4P0dnD3lwvLNiwXrpQ
Melly Mike,Young Black & Rich,Young Black & Rich,spotify:track:2QWin1zM9hxG9zsApuIvso
Said The Sky,Sentiment,Bittersweet Melody,spotify:track:1YUn8WogP40RYJNSidN0lJ
Aizu,Left Me Here,Left Me Here,spotify:track:63CvYxY41JHfHNWE4oW71L
Richy Mitch & The Coal Miners,RMCM,Evergreen,spotify:track:6me7F0aaZjwDo6RJ5MrfBD
Tiësto,DRIVE,10:35,spotify:track:36gcliMRX1vCpgnrZE3dFZ
TitoM,Tshwala Bam (feat. S.N.E),Tshwala Bam (feat. S.N.E),spotify:track:6Qb4XQnsuRnMlGxwR3GOGV
Basixx,The Chase,Just Wanna Be Friends,spotify:track:39XxJrw6hA6x2jelt4pRP7
