artistName,albumName,trackName,uri
Johann Sebastian Bach,"J. S. Bach: Das wohltemperierte Klavier, Buch II","Das wohltemperierte Klavier, Buch II: Präludium IX E-Dur, BWV 878",spotify:track:3BXl1zo42JTONBYDqsUMHo
Knock2,ROOM202 EP,Rock Ur World,spotify:track:5PkWhNfVEz2O9n8b6cQFMw
Regal Noise,Mistletoe Moon,Mistletoe Moon,spotify:track:3GXuMKScSYffHxTzsemCGb
Babyboy AV,Confession,Confession,spotify:track:7IAzRTQQz6Aoywj0R1Qce5
Tom Odell,Long Way Down (Deluxe),Another Love,spotify:track:3JvKfv6T31zO0ini8iNItO
Audien,Learn to Love Again,Learn to Love Again,spotify:track:0x3kC70M6PeygCXhaokWqs
SABAI,Trust Issues,Trust Issues,spotify:track:5nAcDjHi1Sn9d24ZPwYpZc
Lojay,GANGSTER ROMANTIC,MOTO,spotify:track:0P2ytSdEAFp0FICrJwnu4Y
Gilbert Montagné,Liberté,Les sunlights des tropiques,spotify:track:26CWyxnjmUf6n4GKX1QVuw
Trivecta,Riptide,Riptide,spotify:track:5kvFBu6jDJMECOqmD7OwUx
Near x Far,Not Enough,Not Enough,spotify:track:1dEud4LT7T7Yd7KMpo8Qz2
Victony,Stubborn,Risk,spotify:track:6qS9yoAUIXNfno5t4YLQdn
Cartoon,Howling,Howling - Andromedik Remix,spotify:track:3cvr7I6DJxIq3GL4UAU8p4
Trivecta,Rocket League x Monstercat Vol. 1,Break Me,spotify:track:61wWlx9A7791rnvfzBkK18
Cinema Kid,Satellite,Satellite,spotify:track:1y5f2Jl9JQyO3Vojo5WUn3
Sposato,Monki,Monki,spotify:track:75DsKhTjPtfGx3xkMW9FQ5
Throttle,Japan,Japan,spotify:track:29rdnajLrCXu0wDPpBA15p
Anevo,Waiting on Your Call,Waiting On Your Call,spotify:track:0ssmAGHhGIjszYcT4B7pnx
Fireboy DML,Playboy,Sofri,spotify:track:6S5XNauc7v8FLJWEIk0z2c
Mavins,Chapter X,Overloading (OVERDOSE),spotify:track:3ES1fBQACydIODlZmQS359
Haywyre,Two Fold Pt. 2,Endlessly,spotify:track:2CIcivLTP6O4o0yNSknzld
Olamide,Carpe Diem,Infinity (feat. Omah Lay),spotify:track:5DS9LiyEdw2zY8bM6kjjgM
Slushii,LUV U NEED U,LUV U NEED U,spotify:track:3YVj9LLq5GMvBvoKubnUp0
Protostar,Galaxies,Galaxies - Rogue Remix,spotify:track:2oFxH6eieYuPYUr1Q4N2QP
Koven,About Me,About Me,spotify:track:3OgRWuUOktuBGTING1oPld
Ryan Mack,Overwhelmed (Ryan Mack Remix),Overwhelmed (Ryan Mack Remix),spotify:track:03eyNjBM2mpx28H6kdaufN
Rogue,Barbed Wire,Barbed Wire,spotify:track:35cEwob0k0Q2lvOFltENw4
Fireboy DML,Playboy,Peru,spotify:track:4vb777iaycnlFxVkJMmtfd
Arlow,Frozen In Time (feat. Introspect),Frozen In Time (feat. Introspect),spotify:track:1nwhKEypPvHusDiiNFN8rN
