artistName,trackName,msPlayed
Koven,Never Have I Felt This,21.331033333333334
Zanders,Nebula,21.294616666666666
Ruger,Girlfriend,21.283433333333335
Vacancy,We're Out Of Time,21.24635
David Guetta,Titanium (feat. Sia),21.218333333333334
Cook & Stans,Endless Dancing,21.188183333333335
Half an Orange,Time Travel Kool Aid,21.185716666666668
Lost Sky,Where We Started - Sped Up,21.107716666666665
STIM,madness,21.016933333333334
Georgs Pelēcis,Concertino bianco: 1. Con intenerimento,21.003066666666665
Tape Machines,No Sugar Coated Love (oomiee Remix),20.96998333333333
Sam Feldt,Mi Amor (with JVKE & Anitta),20.9142
Steve Hartz,Never Give Up,20.7652
Velveteen,Something Good,20.732566666666667
Seven Lions,First Time (feat. Dylan Matthew),20.667
DESERT STAR,Carissa,20.6598
Kizz Daniel,Nesesari,20.637433333333334
Omah Lay,reason,20.6006
Raccy,Aporia,20.578383333333335
smle,Halo,20.57785
Spectrum,Lost My Way,20.562333333333335
Rogue,Guiding Light,20.543333333333333
Hollywood Principle,Run Away,20.531933333333335
Soprano,Le coach (feat. Vincenzo),20.356883333333332
Seven Lions,Foolish Of Me (feat. Jonathan Mendelsohn),20.309083333333334
CG5,LET ME IN,20.305933333333332
Diamond Eyes,Lies,20.287583333333334
Abandoned,Bring me back to life,20.246933333333335
LVTHER,This Love,20.198516666666666
Distrion,Alibi,20.179233333333332
Trivecta,Best For You (feat. Selah Ford),20.169533333333334
NIGHTCAP,Done Talking,20.11155
Lvly,Worst Behavior,20.099033333333335
JVKE,this is what autumn feels like,20.070266666666665
Diviners,This Time,20.0699
Tam Sir,Coup du marteau,20.0025
Killrude,Give Me a Try,19.968433333333333
Grant,Better Off Alone,19.948033333333335
Ephixa,Deja Vu,19.904233333333334
Zanders,Could You Love Me Too,19.863366666666668
Dmitri Shostakovich,"24 Preludes, Op. 34: No. 10 in C-Sharp Minor. Moderato non troppo",19.789683333333333
Ayra Starr,Bloody Samaritan,19.784916666666668
Rich Edwards,Where I'll Be Waiting,19.758
Craig Reever,Shine a Little,19.75026666666667
JJD,Vertigo,19.70585
The Chainsmokers,Closer,19.684666666666665
WRLD,Hang Up,19.655133333333332
Burna Boy,Ye,19.6438
Coldplay,A Sky Full of Stars,19.633766666666666
Daxten,I'm Waking Up,19.603733333333334
Henry Moodie,drunk text,19.595933333333335
Grant,Constellations,19.539016666666665
Omah Lay,Holy Ghost,19.490733333333335
Tape Machines,The Winner,19.453533333333333
BLAEKER,More Of My Life,19.4246
Consolate,Are You Coming Back,19.4163
Rogue,Badlands,19.33181666666667
GIMS,SPIDER,19.31895
Axol,Remember,19.2857
Near x Far,Not Enough,19.276733333333333
LIONE,Adore,19.211433333333332
melvitto,Close To Me (feat. Krisirie & Gabzy),19.20285
Marie Awadis,Étude No. 8: Through the Window,19.188283333333334
Alexandra Streliski,Plus tôt (String Quartet Version) - Spotify Singles,19.160983333333334
Kovan,Dizzy,19.15351666666667
LED Monster,Good To You,19.13545
Alex Skrindo,Future Vibes,19.0972
Victor Thompson,THIS YEAR (Blessings),19.060566666666666
Ogryzek,EMPIRE,19.048516666666668
Disturbed,The Sound of Silence - CYRIL Remix,19.0219
Conro,What's Love,18.968183333333332
Jungeli,T’étais où ?,18.95035
Disero,Thinking Bout You,18.904083333333332
Benson Boone,In The Stars,18.892483333333335
Keaton Henson,Try,18.889633333333332
Stonebank,Let You Down,18.876383333333333
AL3JANDRO,So Good,18.850216666666668
桜島麻衣(CV:瀬戸麻沙美),不可思議のカルテ,18.80425
Swif7,Your Gain,18.676116666666665
Half an Orange,Arcade,18.650516666666668
Ray,Knock On Wood,18.638616666666667
Maazel,Thinking About You,18.588416666666667
Cartoon,Howling - Andromedik Remix,18.53975
Heuse,I'll Be Here,18.50015
Koven,Settled,18.49625
Madeon,Be Fine,18.486533333333334
Joeboy,Sip (Alcohol),18.48
Stephen Sanchez,Until I Found You,18.462816666666665
Kid AlpHa,Colours,18.440783333333332
Laylow,UNE HISTOIRE ÉTRANGE,18.355233333333334
Ephixa,Matches - Subtact Remix,18.312816666666667
Netrum,Phoenix,18.286416666666668
Justin Wellington,Iko Iko (My Bestie),18.2857
Conro,All I Want,18.270666666666667
Vacancy,When We Were One,18.262333333333334
Katnip,Summer State of Mind,18.1759
